,sets,f1_score,precision_score,recall_score,accuracy_score
0,set_1,0.5125432698288199,0.4993489325695629,0.5634721525338685,0.5634721525338685
1,set_2,0.5129421431151354,0.5015821498538067,0.5651607733146349,0.5651607733146349
2,set_3,0.5145052225755304,0.5056088418657744,0.5676759574894726,0.5676759574894726
3,set_4,0.5225714682824917,0.5087414942635634,0.5741353383458646,0.5741353383458646
4,set_5,0.5177455675468516,0.5076552150708115,0.570440881763527,0.570440881763527
5,set_6,0.5177413706028975,0.5052658345201145,0.5694082246740221,0.5694082246740221
6,set_7,0.5170369194285568,0.5022323888419596,0.5682912154031288,0.5682912154031288
7,set_8,0.5195918752661212,0.5073881785846556,0.5717011448081945,0.5717011448081945
8,set_9,0.515520833162456,0.5039963791897561,0.5677736530550818,0.5677736530550818
9,set_10,0.5165781471536065,0.5038752224395437,0.5683388404926404,0.5683388404926404
10,average,0.5166776816962467,0.5045694637199548,0.5686398181880435,0.5686398181880435
